"Year","Month","Value"
2015,"Jan",12.3
2015,"Feb",11.9
2015,"Mar",11.7
2015,"Apr",10.6
2015,"May",9.9
2015,"Jun",10
2015,"Jul",9.9
2015,"Aug",9.1
2015,"Sep",8.5
2015,"Oct",9.3
2015,"Nov",9.9
2015,"Dec",10
2016,"Jan",10.9
2016,"Feb",10.8
2016,"Mar",11
2016,"Apr",9.9
2016,"May",8.7
2016,"Jun",9.3
2016,"Jul",9.1
2016,"Aug",8.6
2016,"Sep",8.3
2016,"Oct",9
2016,"Nov",9.3
2016,"Dec",9.7
2017,"Jan",10.5
2017,"Feb",10.5
2017,"Mar",10.2
2017,"Apr",9
2017,"May",7.9
2017,"Jun",8.3
2017,"Jul",8.2
2017,"Aug",7.8
2017,"Sep",7
2017,"Oct",7.3
2017,"Nov",7.9
2017,"Dec",8.2
2018,"Jan",8.9
2018,"Feb",9.1
2018,"Mar",9
2018,"Apr",8
2018,"May",6.8
2018,"Jun",7.4
2018,"Jul",7.3
2018,"Aug",6.7
2018,"Sep",6.1
2018,"Oct",6.5
2018,"Nov",7.1
2018,"Dec",7.8
2019,"Jan",9.2
2019,"Feb",8.9
2019,"Mar",8.9
2019,"Apr",7.6
2019,"May",6.4
2019,"Jun",7
2019,"Jul",7.2
2019,"Aug",6.6
2019,"Sep",5.7
2019,"Oct",6.2
2019,"Nov",6.9
2019,"Dec",7.3
2020,"Jan",8.3
2020,"Feb",8.4
2020,"Mar",12.2
2020,"Apr",17.5
2020,"May",15.6
2020,"Jun",13.4
2020,"Jul",13.1
2020,"Aug",10.9
2020,"Sep",10.4
2020,"Oct",9.6
2020,"Nov",10
2020,"Dec",10.5
2021,"Jan",10.9
2021,"Feb",11.1
2021,"Mar",11
2021,"Apr",10.5
2021,"May",9.3
2021,"Jun",10.1
2021,"Jul",9.5
2021,"Aug",8.8
2021,"Sep",7.6
2021,"Oct",7.5
2021,"Nov",7.2
2021,"Dec",7.1
2022,"Jan",8.1
2022,"Feb",7.8
2022,"Mar",7.4
2022,"Apr",6.5
2022,"May",5.7
2022,"Jun",6.2
2022,"Jul",6.1
2022,"Aug",6
2022,"Sep",5.4
2022,"Oct",5.9
2022,"Nov",6.6
2022,"Dec",6.6
2023,"Jan",7.8
2023,"Feb",8.4
2023,"Mar",8.5
2023,"Apr",7.3
2023,"May",7.1
2023,"Jun",7.3
2023,"Jul",7.1
2023,"Aug",7.1
2023,"Sep",6.4
2023,"Oct",7
2023,"Nov",7.4
2023,"Dec",7.8
2024,"Jan",8.4
2024,"Feb",9.1
2024,"Mar",8.9
2024,"Apr",8
2024,"May",7.3
2024,"Jun",7.8
2024,"Jul",8.1
2024,"Aug",7.6
2024,"Sep",6.7
2024,"Oct",7.1
2024,"Nov",7.8
2024,"Dec",7.9
2025,"Jan",8.6
2025,"Feb",8.9
2025,"Mar",8.9
2025,"Apr",NA
2025,"May",NA
2025,"Jun",NA
2025,"Jul",NA
2025,"Aug",NA
2025,"Sep",NA
2025,"Oct",NA
2025,"Nov",NA
2025,"Dec",NA
