"Year","Month","Value"
2015,"Jan",4.7
2015,"Feb",4.7
2015,"Mar",4.6
2015,"Apr",4.6
2015,"May",4.5
2015,"Jun",4.4
2015,"Jul",4.3
2015,"Aug",4.3
2015,"Sep",4.3
2015,"Oct",4.2
2015,"Nov",4.2
2015,"Dec",4.2
2016,"Jan",4.2
2016,"Feb",4.1
2016,"Mar",4.1
2016,"Apr",4
2016,"May",4
2016,"Jun",3.9
2016,"Jul",3.9
2016,"Aug",3.9
2016,"Sep",3.8
2016,"Oct",3.8
2016,"Nov",3.8
2016,"Dec",3.7
2017,"Jan",3.6
2017,"Feb",3.5
2017,"Mar",3.4
2017,"Apr",3.3
2017,"May",3.3
2017,"Jun",3.2
2017,"Jul",3.3
2017,"Aug",3.3
2017,"Sep",3.2
2017,"Oct",3.2
2017,"Nov",3.1
2017,"Dec",3
2018,"Jan",3
2018,"Feb",3
2018,"Mar",3
2018,"Apr",3
2018,"May",3
2018,"Jun",3
2018,"Jul",3
2018,"Aug",3
2018,"Sep",3
2018,"Oct",3
2018,"Nov",3
2018,"Dec",3
2019,"Jan",3.1
2019,"Feb",3.1
2019,"Mar",3.1
2019,"Apr",3.2
2019,"May",3.2
2019,"Jun",3.2
2019,"Jul",3.3
2019,"Aug",3.3
2019,"Sep",3.3
2019,"Oct",3.3
2019,"Nov",3.2
2019,"Dec",3.2
2020,"Jan",3.1
2020,"Feb",3.1
2020,"Mar",3
2020,"Apr",14.1
2020,"May",10.5
2020,"Jun",8.7
2020,"Jul",7.6
2020,"Aug",6.3
2020,"Sep",5.8
2020,"Oct",5.2
2020,"Nov",5
2020,"Dec",4.8
2021,"Jan",4.6
2021,"Feb",4.5
2021,"Mar",4.3
2021,"Apr",4.2
2021,"May",4.1
2021,"Jun",3.9
2021,"Jul",3.7
2021,"Aug",3.5
2021,"Sep",3.4
2021,"Oct",3.2
2021,"Nov",3.1
2021,"Dec",3
2022,"Jan",3
2022,"Feb",2.9
2022,"Mar",2.9
2022,"Apr",2.8
2022,"May",2.8
2022,"Jun",2.8
2022,"Jul",2.8
2022,"Aug",2.8
2022,"Sep",2.8
2022,"Oct",2.8
2022,"Nov",2.7
2022,"Dec",2.6
2023,"Jan",2.6
2023,"Feb",2.6
2023,"Mar",2.6
2023,"Apr",2.6
2023,"May",2.7
2023,"Jun",2.8
2023,"Jul",2.9
2023,"Aug",3
2023,"Sep",3
2023,"Oct",3
2023,"Nov",2.9
2023,"Dec",2.9
2024,"Jan",2.9
2024,"Feb",2.9
2024,"Mar",2.9
2024,"Apr",2.9
2024,"May",2.9
2024,"Jun",2.9
2024,"Jul",2.9
2024,"Aug",3
2024,"Sep",3
2024,"Oct",3.1
2024,"Nov",3.1
2024,"Dec",3.1
2025,"Jan",3.2
2025,"Feb",3.2
2025,"Mar",3.2
2025,"Apr",3.3
2025,"May",NA
2025,"Jun",NA
2025,"Jul",NA
2025,"Aug",NA
2025,"Sep",NA
2025,"Oct",NA
2025,"Nov",NA
2025,"Dec",NA
