"Year","Month","Value"
2015,"Jan",8.2
2015,"Feb",7.7
2015,"Mar",7.2
2015,"Apr",7.2
2015,"May",7.3
2015,"Jun",7.6
2015,"Jul",7.7
2015,"Aug",7.4
2015,"Sep",7.2
2015,"Oct",6.9
2015,"Nov",6.8
2015,"Dec",6.6
2016,"Jan",7.2
2016,"Feb",7
2016,"Mar",6.9
2016,"Apr",6.8
2016,"May",6.5
2016,"Jun",7.2
2016,"Jul",7
2016,"Aug",6.7
2016,"Sep",6.7
2016,"Oct",6.4
2016,"Nov",6
2016,"Dec",6
2017,"Jan",6.5
2017,"Feb",6.3
2017,"Mar",5.8
2017,"Apr",5.7
2017,"May",5.7
2017,"Jun",6.1
2017,"Jul",6.4
2017,"Aug",6.3
2017,"Sep",6
2017,"Oct",5.7
2017,"Nov",5.8
2017,"Dec",5.8
2018,"Jan",6.3
2018,"Feb",6
2018,"Mar",5.7
2018,"Apr",5.6
2018,"May",5.3
2018,"Jun",6.1
2018,"Jul",6.1
2018,"Aug",6
2018,"Sep",5.7
2018,"Oct",5.6
2018,"Nov",5.6
2018,"Dec",6.1
2019,"Jan",6.9
2019,"Feb",6.1
2019,"Mar",6.1
2019,"Apr",5.9
2019,"May",5.9
2019,"Jun",6.5
2019,"Jul",6.7
2019,"Aug",6.4
2019,"Sep",5.6
2019,"Oct",5.6
2019,"Nov",5.6
2019,"Dec",5.6
2020,"Jan",6.1
2020,"Feb",5.7
2020,"Mar",6.6
2020,"Apr",11.4
2020,"May",9.5
2020,"Jun",8.9
2020,"Jul",8.6
2020,"Aug",7
2020,"Sep",6.4
2020,"Oct",5.5
2020,"Nov",5.4
2020,"Dec",5.7
2021,"Jan",5.7
2021,"Feb",6.1
2021,"Mar",5.6
2021,"Apr",5.7
2021,"May",5.7
2021,"Jun",6.2
2021,"Jul",5.7
2021,"Aug",5.2
2021,"Sep",4.7
2021,"Oct",4.3
2021,"Nov",3.9
2021,"Dec",3.7
2022,"Jan",4.4
2022,"Feb",4.2
2022,"Mar",3.8
2022,"Apr",4.1
2022,"May",4.3
2022,"Jun",5
2022,"Jul",5.1
2022,"Aug",5.1
2022,"Sep",4.7
2022,"Oct",4.6
2022,"Nov",4.3
2022,"Dec",4.1
2023,"Jan",4.4
2023,"Feb",4.5
2023,"Mar",4.3
2023,"Apr",4.1
2023,"May",4.4
2023,"Jun",4.8
2023,"Jul",4.9
2023,"Aug",4.7
2023,"Sep",4.5
2023,"Oct",4.4
2023,"Nov",4
2023,"Dec",3.8
2024,"Jan",4
2024,"Feb",4
2024,"Mar",3.6
2024,"Apr",3.5
2024,"May",3.9
2024,"Jun",4.7
2024,"Jul",5.1
2024,"Aug",4.7
2024,"Sep",4.5
2024,"Oct",4.4
2024,"Nov",4.4
2024,"Dec",4.3
2025,"Jan",4.7
2025,"Feb",4.8
2025,"Mar",4.8
2025,"Apr",NA
2025,"May",NA
2025,"Jun",NA
2025,"Jul",NA
2025,"Aug",NA
2025,"Sep",NA
2025,"Oct",NA
2025,"Nov",NA
2025,"Dec",NA
