Year,Month,Value,city,month_date,treated,time
2020,Nov,5.1,Austin,2020-11-01,0,0
2020,Dec,4.9,Austin,2020-12-01,0,0
2021,Jan,5.3,Austin,2021-01-01,0,0
2021,Feb,5.2,Austin,2021-02-01,0,0
2021,Mar,4.9,Austin,2021-03-01,0,0
2021,Apr,4.3,Austin,2021-04-01,0,0
2021,May,4.1,Austin,2021-05-01,0,0
2021,Jun,4.6,Austin,2021-06-01,0,0
2021,Jul,4.2,Austin,2021-07-01,0,0
2021,Aug,3.9,Austin,2021-08-01,0,0
2021,Sep,3.7,Austin,2021-09-01,0,0
2021,Oct,3.5,Austin,2021-10-01,0,0
2021,Nov,3.3,Austin,2021-11-01,0,0
2021,Dec,3,Austin,2021-12-01,0,0
2022,Jan,3.5,Austin,2022-01-01,0,1
2022,Feb,3.3,Austin,2022-02-01,0,1
2022,Mar,2.9,Austin,2022-03-01,0,1
2022,Apr,2.6,Austin,2022-04-01,0,1
2022,May,2.8,Austin,2022-05-01,0,1
2022,Jun,3.2,Austin,2022-06-01,0,1
2022,Jul,3.1,Austin,2022-07-01,0,1
2022,Aug,3.1,Austin,2022-08-01,0,1
2022,Sep,3,Austin,2022-09-01,0,1
2022,Oct,3,Austin,2022-10-01,0,1
2022,Nov,3,Austin,2022-11-01,0,1
2022,Dec,2.9,Austin,2022-12-01,0,1
2023,Jan,3.4,Austin,2023-01-01,0,1
2023,Feb,3.7,Austin,2023-02-01,0,1
2023,Mar,3.4,Austin,2023-03-01,0,1
2023,Apr,3,Austin,2023-04-01,0,1
2023,May,3.4,Austin,2023-05-01,0,1
2023,Jun,3.6,Austin,2023-06-01,0,1
2023,Jul,3.7,Austin,2023-07-01,0,1
2023,Aug,3.8,Austin,2023-08-01,0,1
2023,Sep,3.6,Austin,2023-09-01,0,1
2023,Oct,3.4,Austin,2023-10-01,0,1
2023,Nov,3.2,Austin,2023-11-01,0,1
2023,Dec,3.2,Austin,2023-12-01,0,1
2024,Jan,3.6,Austin,2024-01-01,0,1
2024,Feb,3.7,Austin,2024-02-01,0,1
2024,Mar,3.5,Austin,2024-03-01,0,1
2024,Apr,3.1,Austin,2024-04-01,0,1
2024,May,3.3,Austin,2024-05-01,0,1
2024,Jun,3.8,Austin,2024-06-01,0,1
2024,Jul,3.8,Austin,2024-07-01,0,1
2024,Aug,3.8,Austin,2024-08-01,0,1
2024,Sep,3.5,Austin,2024-09-01,0,1
2024,Oct,3.5,Austin,2024-10-01,0,1
2024,Nov,3.5,Austin,2024-11-01,0,1
2024,Dec,3.1,Austin,2024-12-01,0,1
2025,Jan,3.5,Austin,2025-01-01,0,1
2020,Nov,10.3,Bakersfield,2020-11-01,0,0
2020,Dec,10.9,Bakersfield,2020-12-01,0,0
2021,Jan,11.4,Bakersfield,2021-01-01,0,0
2021,Feb,11.7,Bakersfield,2021-02-01,0,0
2021,Mar,11.9,Bakersfield,2021-03-01,0,0
2021,Apr,11.4,Bakersfield,2021-04-01,0,0
2021,May,10.3,Bakersfield,2021-05-01,0,0
2021,Jun,11.4,Bakersfield,2021-06-01,0,0
2021,Jul,10.5,Bakersfield,2021-07-01,0,0
2021,Aug,9.7,Bakersfield,2021-08-01,0,0
2021,Sep,8.4,Bakersfield,2021-09-01,0,0
2021,Oct,7.9,Bakersfield,2021-10-01,0,0
2021,Nov,7.2,Bakersfield,2021-11-01,0,0
2021,Dec,7.4,Bakersfield,2021-12-01,0,0
2022,Jan,8.4,Bakersfield,2022-01-01,0,1
2022,Feb,8.2,Bakersfield,2022-02-01,0,1
2022,Mar,7.9,Bakersfield,2022-03-01,0,1
2022,Apr,7.1,Bakersfield,2022-04-01,0,1
2022,May,6.5,Bakersfield,2022-05-01,0,1
2022,Jun,7.1,Bakersfield,2022-06-01,0,1
2022,Jul,6.9,Bakersfield,2022-07-01,0,1
2022,Aug,6.7,Bakersfield,2022-08-01,0,1
2022,Sep,6,Bakersfield,2022-09-01,0,1
2022,Oct,6.3,Bakersfield,2022-10-01,0,1
2022,Nov,6.6,Bakersfield,2022-11-01,0,1
2022,Dec,7,Bakersfield,2022-12-01,0,1
2023,Jan,8.2,Bakersfield,2023-01-01,0,1
2023,Feb,9,Bakersfield,2023-02-01,0,1
2023,Mar,9.2,Bakersfield,2023-03-01,0,1
2023,Apr,8.1,Bakersfield,2023-04-01,0,1
2023,May,8.1,Bakersfield,2023-05-01,0,1
2023,Jun,8.5,Bakersfield,2023-06-01,0,1
2023,Jul,8.2,Bakersfield,2023-07-01,0,1
2023,Aug,8,Bakersfield,2023-08-01,0,1
